dg1 [um],dg_feed [um],L1 [um],L2 [um],Freq [GHz],S11_dB,S21_dB
-6,-66,50,-92,1.045,-2.53069344033462,-3.71070908222635
-6,-66,50,-92,1.05,-3.44600774812122,-2.7515107324498
-6,-66,50,-92,1.055,-4.65510481380304,-1.93839980237178
-6,-66,50,-92,1.06,-6.21448266779169,-1.29010203207474
-6,-66,50,-92,1.065,-8.18186898361587,-0.80798380641319
-6,-66,50,-92,1.07,-10.6312604562369,-0.475941732737119
-6,-66,50,-92,1.075,-13.6933775119903,-0.266022557042352
-6,-66,50,-92,1.08,-17.6600654925185,-0.146329038509468
-6,-66,50,-92,1.085,-23.3563781149589,-0.0874390840477348
-6,-66,50,-92,1.09,-35.0326327040572,-0.0657425023958691
-6,-66,50,-92,1.095,-33.3361990435963,-0.0641431062138193
-6,-66,50,-92,1.1,-26.0160340897363,-0.0712874250311287
-6,-66,50,-92,1.105,-23.1230683780899,-0.0802790708865935
-6,-66,50,-92,1.11,-21.7099843675638,-0.087408238165269
-6,-66,50,-92,1.115,-21.0876884301788,-0.0911019840560032
-6,-66,50,-92,1.12,-20.9949250713346,-0.0911301338139836
-6,-66,50,-92,1.125,-21.3176901803799,-0.0880341371404877
-6,-66,50,-92,1.13,-22.0131459802962,-0.0827303481690208
-6,-66,50,-92,1.135,-23.0869626073636,-0.0762435781543329
-6,-66,50,-92,1.14,-24.5950130475757,-0.0695363462342718
-6,-66,50,-92,1.145,-26.6715260915965,-0.0634081866717855
-6,-66,50,-92,1.15,-29.6223302476983,-0.0584460857218158
-6,-66,50,-92,1.155,-34.2914207185708,-0.055011725451581
-6,-66,50,-92,1.16,-45.0224802488578,-0.0532543082372786
-6,-66,50,-92,1.165,-42.1470777403572,-0.0531399311762505
-6,-66,50,-92,1.17,-33.7697640893077,-0.0544902158424007
-6,-66,50,-92,1.175,-29.8173107498107,-0.0570244267057256
-6,-66,50,-92,1.18,-27.3243689693719,-0.0604007285887405
-6,-66,50,-92,1.185,-25.588039637456,-0.0642535408918194
-6,-66,50,-92,1.19,-24.3279237371707,-0.0682251031946954
-6,-66,50,-92,1.195,-23.4038507178838,-0.0719903301323486
-6,-66,50,-92,1.2,-22.7362634659836,-0.0752747793369359
-6,-66,50,-92,1.205,-22.276458621839,-0.0778660863572062
-6,-66,50,-92,1.21,-21.9934179476699,-0.0796195579470468
